Variable,Original_Value,Encoded_Value
Rpt Dist No,1078,52
Rpt Dist No,1079,53
Rpt Dist No,1083,54
Rpt Dist No,1087,55
Rpt Dist No,1088,56
Rpt Dist No,1089,57
Rpt Dist No,109,58
Rpt Dist No,1091,59
Rpt Dist No,1094,60
Rpt Dist No,1097,61
Rpt Dist No,1098,62
Rpt Dist No,1099,63
Rpt Dist No,1101,64
Rpt Dist No,1102,65
Rpt Dist No,1105,66
Rpt Dist No,1107,67
Rpt Dist No,1109,68
Rpt Dist No,111,69
Rpt Dist No,1112,70
Rpt Dist No,1113,71
Rpt Dist No,1115,72
Rpt Dist No,1116,73
Rpt Dist No,1117,74
Rpt Dist No,1118,75
Rpt Dist No,1119,76
Rpt Dist No,112,77
Rpt Dist No,1122,78
Rpt Dist No,1123,79
Rpt Dist No,1124,80
Rpt Dist No,1125,81
Rpt Dist No,1126,82
Rpt Dist No,1127,83
Rpt Dist No,1128,84
Rpt Dist No,1129,85
Rpt Dist No,1132,86
Rpt Dist No,1133,87
Rpt Dist No,1134,88
Rpt Dist No,1135,89
Rpt Dist No,1136,90
Rpt Dist No,1137,91
Rpt Dist No,1138,92
Rpt Dist No,1139,93
Rpt Dist No,1141,94
Rpt Dist No,1142,95
Rpt Dist No,1143,96
Rpt Dist No,1144,97
Rpt Dist No,1145,98
Rpt Dist No,1146,99
Rpt Dist No,1147,100
Rpt Dist No,1148,101
Rpt Dist No,1149,102
Rpt Dist No,1151,103
Rpt Dist No,1152,104
Rpt Dist No,1153,105
Rpt Dist No,1157,106
Rpt Dist No,1158,107
Rpt Dist No,1159,108
Rpt Dist No,1161,109
Rpt Dist No,1162,110
Rpt Dist No,1163,111
Rpt Dist No,1169,112
Rpt Dist No,1171,113
Rpt Dist No,1172,114
Rpt Dist No,1173,115
Rpt Dist No,1174,116
Rpt Dist No,1175,117
Rpt Dist No,1176,118
Rpt Dist No,1177,119
Rpt Dist No,1178,120
Rpt Dist No,1179,121
Rpt Dist No,118,122
Rpt Dist No,1181,123
Rpt Dist No,1183,124
Rpt Dist No,1184,125
Rpt Dist No,1185,126
Rpt Dist No,1186,127
Rpt Dist No,1189,128
Rpt Dist No,119,129
Rpt Dist No,1195,130
Rpt Dist No,1199,131
Rpt Dist No,1200,132
Rpt Dist No,1203,133
Rpt Dist No,1204,134
Rpt Dist No,1205,135
Rpt Dist No,1207,136
Rpt Dist No,1208,137
Rpt Dist No,1209,138
Rpt Dist No,121,139
Rpt Dist No,1211,140
Rpt Dist No,1213,141
Rpt Dist No,1215,142
Rpt Dist No,1218,143
Rpt Dist No,1219,144
Rpt Dist No,122,145
Rpt Dist No,123,146
Rpt Dist No,1231,147
Rpt Dist No,1232,148
Rpt Dist No,1233,149
Rpt Dist No,1235,150
Rpt Dist No,1239,151
Rpt Dist No,124,152
Rpt Dist No,1241,153
Rpt Dist No,1242,154
Rpt Dist No,1243,155
Rpt Dist No,1245,156
Rpt Dist No,1248,157
Rpt Dist No,1249,158
Rpt Dist No,1251,159
Rpt Dist No,1252,160
Rpt Dist No,1253,161
Rpt Dist No,1255,162
Rpt Dist No,1256,163
Rpt Dist No,1257,164
Rpt Dist No,1258,165
Rpt Dist No,1259,166
Rpt Dist No,1263,167
Rpt Dist No,1265,168
Rpt Dist No,1266,169
Rpt Dist No,1267,170
Rpt Dist No,1268,171
Rpt Dist No,1269,172
Rpt Dist No,127,173
Rpt Dist No,1273,174
Rpt Dist No,128,175
Rpt Dist No,1283,176
Rpt Dist No,129,177
Rpt Dist No,1293,178
Rpt Dist No,1300,179
Rpt Dist No,1303,180
Rpt Dist No,1307,181
Rpt Dist No,1309,182
Rpt Dist No,131,183
Rpt Dist No,1311,184
Rpt Dist No,1313,185
Rpt Dist No,1317,186
Rpt Dist No,132,187
Rpt Dist No,1321,188
Rpt Dist No,1322,189
Rpt Dist No,1323,190
Rpt Dist No,1324,191
Rpt Dist No,1325,192
Rpt Dist No,1326,193
Rpt Dist No,1327,194
Rpt Dist No,133,195
Rpt Dist No,1331,196
Rpt Dist No,1333,197
Rpt Dist No,134,198
Rpt Dist No,1341,199
Rpt Dist No,1342,200
Rpt Dist No,1343,201
Rpt Dist No,1344,202
Rpt Dist No,1345,203
Rpt Dist No,1346,204
Rpt Dist No,1347,205
Rpt Dist No,135,206
Rpt Dist No,1351,207
Rpt Dist No,1352,208
Rpt Dist No,1353,209
Rpt Dist No,1354,210
Rpt Dist No,1361,211
Rpt Dist No,1362,212
Rpt Dist No,1363,213
Rpt Dist No,1364,214
Rpt Dist No,1365,215
Rpt Dist No,1367,216
Rpt Dist No,1371,217
Rpt Dist No,1372,218
Rpt Dist No,1373,219
Rpt Dist No,1375,220
Rpt Dist No,1377,221
Rpt Dist No,138,222
Rpt Dist No,1381,223
Rpt Dist No,1383,224
Rpt Dist No,1385,225
Rpt Dist No,139,226
Rpt Dist No,1391,227
Rpt Dist No,1393,228
Rpt Dist No,1394,229
Rpt Dist No,1395,230
Rpt Dist No,1400,231
Rpt Dist No,1401,232
Rpt Dist No,1402,233
Rpt Dist No,1403,234
Rpt Dist No,1405,235
Rpt Dist No,1406,236
Rpt Dist No,1407,237
Rpt Dist No,1408,238
Rpt Dist No,1409,239
Rpt Dist No,141,240
Rpt Dist No,1411,241
Rpt Dist No,1412,242
Rpt Dist No,1413,243
Rpt Dist No,1414,244
Rpt Dist No,1415,245
Rpt Dist No,1416,246
Rpt Dist No,142,247
Rpt Dist No,1424,248
Rpt Dist No,1425,249
Rpt Dist No,1426,250
Rpt Dist No,1427,251
Rpt Dist No,1428,252
Rpt Dist No,143,253
Rpt Dist No,1431,254
Rpt Dist No,1432,255
Rpt Dist No,1433,256
Rpt Dist No,1434,257
Rpt Dist No,1435,258
Rpt Dist No,1436,259
Rpt Dist No,1437,260
Rpt Dist No,1438,261
Rpt Dist No,144,262
Rpt Dist No,1441,263
Rpt Dist No,1443,264
Rpt Dist No,1444,265
Rpt Dist No,1445,266
Rpt Dist No,1446,267
Rpt Dist No,1449,268
Rpt Dist No,145,269
Rpt Dist No,1451,270
Rpt Dist No,1452,271
Rpt Dist No,1453,272
Rpt Dist No,1454,273
Rpt Dist No,1455,274
Rpt Dist No,1456,275
Rpt Dist No,1457,276
Rpt Dist No,1458,277
Rpt Dist No,1459,278
Rpt Dist No,146,279
Rpt Dist No,1462,280
Rpt Dist No,1463,281
Rpt Dist No,1464,282
Rpt Dist No,1465,283
Rpt Dist No,1466,284
Rpt Dist No,1467,285
Rpt Dist No,1468,286
Rpt Dist No,1469,287
Rpt Dist No,147,288
Rpt Dist No,1471,289
Rpt Dist No,1472,290
Rpt Dist No,1473,291
Rpt Dist No,1474,292
Rpt Dist No,1475,293
Rpt Dist No,1476,294
Rpt Dist No,1477,295
Rpt Dist No,1479,296
Rpt Dist No,148,297
Rpt Dist No,1483,298
Rpt Dist No,1484,299
Rpt Dist No,1485,300
Rpt Dist No,1486,301
Rpt Dist No,1487,302
Rpt Dist No,1488,303
Rpt Dist No,1489,304
Rpt Dist No,1491,305
Rpt Dist No,1492,306
Rpt Dist No,1493,307
Rpt Dist No,1494,308
Rpt Dist No,1495,309
Rpt Dist No,1496,310
Rpt Dist No,1497,311
Rpt Dist No,1498,312
Rpt Dist No,1499,313
Rpt Dist No,1501,314
Rpt Dist No,1502,315
Rpt Dist No,1503,316
Rpt Dist No,1504,317
Rpt Dist No,1505,318
Rpt Dist No,1506,319
Rpt Dist No,1508,320
Rpt Dist No,1509,321
Rpt Dist No,151,322
Rpt Dist No,1511,323
Rpt Dist No,1512,324
Rpt Dist No,1513,325
Rpt Dist No,1514,326
Rpt Dist No,1515,327
Rpt Dist No,1516,328
Rpt Dist No,1517,329
Rpt Dist No,1519,330
Rpt Dist No,152,331
Rpt Dist No,1521,332
Rpt Dist No,1522,333
Rpt Dist No,1523,334
Rpt Dist No,1524,335
Rpt Dist No,1525,336
Rpt Dist No,1526,337
Rpt Dist No,1527,338
Rpt Dist No,1529,339
Rpt Dist No,153,340
Rpt Dist No,1531,341
Rpt Dist No,1532,342
Rpt Dist No,1533,343
Rpt Dist No,1535,344
Rpt Dist No,1537,345
Rpt Dist No,1538,346
Rpt Dist No,1539,347
Rpt Dist No,154,348
Rpt Dist No,1541,349
Rpt Dist No,1542,350
Rpt Dist No,1543,351
Rpt Dist No,1544,352
Rpt Dist No,1545,353
Rpt Dist No,1546,354
Rpt Dist No,1547,355
Rpt Dist No,1548,356
Rpt Dist No,1549,357
Rpt Dist No,155,358
Rpt Dist No,1551,359
Rpt Dist No,1553,360
Rpt Dist No,1555,361
Rpt Dist No,1557,362
Rpt Dist No,1558,363
Rpt Dist No,1559,364
Rpt Dist No,156,365
Rpt Dist No,1562,366
Rpt Dist No,1563,367
Rpt Dist No,1565,368
Rpt Dist No,1566,369
Rpt Dist No,1567,370
Rpt Dist No,1569,371
Rpt Dist No,157,372
Rpt Dist No,158,373
Rpt Dist No,1581,374
Rpt Dist No,1583,375
Rpt Dist No,1585,376
Rpt Dist No,1586,377
Rpt Dist No,1587,378
Rpt Dist No,1588,379
Rpt Dist No,1589,380
Rpt Dist No,159,381
Rpt Dist No,1591,382
Rpt Dist No,1595,383
Rpt Dist No,1596,384
Rpt Dist No,1599,385
Rpt Dist No,1600,386
Rpt Dist No,1601,387
Rpt Dist No,1602,388
Rpt Dist No,1603,389
Rpt Dist No,1605,390
Rpt Dist No,1606,391
Rpt Dist No,1608,392
Rpt Dist No,161,393
Rpt Dist No,1611,394
Rpt Dist No,1612,395
Rpt Dist No,1613,396
Rpt Dist No,1614,397
Rpt Dist No,1615,398
Rpt Dist No,1617,399
Rpt Dist No,1618,400
Rpt Dist No,1619,401
Rpt Dist No,162,402
Rpt Dist No,1621,403
Rpt Dist No,1622,404
Rpt Dist No,1623,405
Rpt Dist No,163,406
Rpt Dist No,1633,407
Rpt Dist No,1634,408
Rpt Dist No,1635,409
Rpt Dist No,1636,410
Rpt Dist No,1637,411
Rpt Dist No,1638,412
Rpt Dist No,1639,413
Rpt Dist No,164,414
Rpt Dist No,1641,415
Rpt Dist No,1642,416
Rpt Dist No,1643,417
Rpt Dist No,1645,418
Rpt Dist No,1646,419
Rpt Dist No,165,420
Rpt Dist No,1651,421
Rpt Dist No,1653,422
Rpt Dist No,1654,423
Rpt Dist No,1655,424
Rpt Dist No,1656,425
Rpt Dist No,1657,426
Rpt Dist No,1658,427
Rpt Dist No,1659,428
Rpt Dist No,166,429
Rpt Dist No,1661,430
Rpt Dist No,1663,431
Rpt Dist No,1664,432
Rpt Dist No,1665,433
Rpt Dist No,1666,434
Rpt Dist No,1667,435
Rpt Dist No,1668,436
Rpt Dist No,1669,437
Rpt Dist No,1671,438
Rpt Dist No,1672,439
Rpt Dist No,1673,440
Rpt Dist No,1675,441
Rpt Dist No,1676,442
Rpt Dist No,1677,443
Rpt Dist No,1678,444
Rpt Dist No,1679,445
Rpt Dist No,1681,446
Rpt Dist No,1682,447
Rpt Dist No,1683,448
Rpt Dist No,1684,449
Rpt Dist No,1685,450
Rpt Dist No,1686,451
Rpt Dist No,1687,452
Rpt Dist No,1689,453
Rpt Dist No,1691,454
Rpt Dist No,1693,455
Rpt Dist No,1695,456
Rpt Dist No,1698,457
Rpt Dist No,1699,458
Rpt Dist No,1700,459
Rpt Dist No,1701,460
Rpt Dist No,1703,461
Rpt Dist No,1705,462
Rpt Dist No,1707,463
Rpt Dist No,1708,464
Rpt Dist No,1709,465
Rpt Dist No,171,466
Rpt Dist No,1712,467
